"[01 Basi] - Come dichiari una variabile intera e una stringa in C#?";"Specifichi il tipo, poi il nome.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>int marce = 6;<br>string moto = ""Yamaha XT1200Z"";</code></pre>"
"[01 Basi] - Qual è la differenza tra 'float', 'double' e 'decimal'?";"Rappresentano numeri decimali. <b>float</b> (32 bit), <b>double</b> (64 bit - standard), <b>decimal</b> (128 bit - massima precisione).<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>decimal saldoFinanza = 1500.50m; // Usa la 'm'</code></pre>"
"[01 Basi] - Come si usa la String Interpolation?";"Col simbolo $ permette di inserire variabili nelle stringhe.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>string destinazione = ""Pratomollo"";<br>Console.WriteLine($""Oggi guido verso {destinazione}"");</code></pre>"
"[01 Basi] - Cos'è la keyword 'var'?";"Fa dedurre il tipo al compilatore. Il tipo diventa comunque fisso a compile-time.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>var attrezzo = ""Cricchetto""; // È una stringa</code></pre>"
"[01 Basi] - Differenza tra 'const' e 'readonly'?";"<b>const</b> deve essere assegnato subito e non cambia mai. <b>readonly</b> può essere assegnato nel costruttore.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>const int Ruote = 2;<br>readonly string _targa;</code></pre>"
"[01 Basi] - A cosa serve una Verbatim String (@)?";"Ignora i caratteri di escape (come \\n). Utile per percorsi o query SQL.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>string path = @""C:\Officina\Manuali"";<br>string sql = @""SELECT * FROM Clienti"";</code></pre>"
"[01 Basi] - Come funziona l'Operatore Ternario ( ? : )?";"È un 'if-else' compatto.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>string stato = (pressione > 2.2) ? ""OK"" : ""Sgonfia"";</code></pre>"
"[01 Basi] - Cosa fa l'operatore Null-Coalescing (??)?";"Restituisce il valore a sinistra se non è null, altrimenti quello a destra.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>string olio = olioScelto ?? ""Motul 10W40"";</code></pre>"
"[01 Basi] - Cos'è il Casting esplicito?";"Forzare la conversione tra tipi che potrebbero perdere dati.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>double cilindrata = 1199.5;<br>int ccInteri = (int)cilindrata; // Diventa 1199</code></pre>"
"[01 Basi] - Come dichiari un tipo Nullable?";"Aggiungendo il punto interrogativo (?). Significa che può non avere un valore.<br><br><pre style=""background:#282c34; color:#abb2bf; padding:10px; border-radius:5px; white-space:pre-wrap; word-wrap:break-word;""><code>int? chilometriPercorsi = null;</code></pre>"
